femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,incidentId,region,designatedIncidentTypes,lastRefresh,hash,id
FM-5529-OR,5529,OR,FM,2024-08-09T00:00:00.000Z,2024,Fire,LEE FALLS FIRE,False,False,True,True,2024-08-08T00:00:00.000Z,,,False,41,067,99067,Washington (County),24122,,2024081001,10,R,2024-08-27T18:22:14.800Z,ae87cf3c6ed795015b714af7166c7c295b2b67c7,09e3f81a-5e16-4b72-b317-1c64e0cfa59c
FM-5528-OR,5528,OR,FM,2024-08-06T00:00:00.000Z,2024,Fire,ELK LANE FIRE,False,False,True,True,2024-08-04T00:00:00.000Z,,,False,41,031,99031,Jefferson (County),24116,,2024080701,10,R,2024-08-27T18:22:14.800Z,432cf0995c47e3895cea696ede5621b810460501,59983f89-30bf-4888-b21b-62e8d57d9aac
FM-5527-OR,5527,OR,FM,2024-08-02T00:00:00.000Z,2024,Fire,MILE MARKER 132 FIRE,False,False,True,True,2024-08-02T00:00:00.000Z,,,False,41,017,99017,Deschutes (County),24111,,2024080301,10,R,2024-08-27T18:22:14.800Z,2f21d90cb6bc64b0d4121aa3f18d852bbb4b11fa,8d13ecf0-bc2f-496b-8c9f-b2e73da832a0
DR-4312-CA,4312,CA,DR,2017-05-02T00:00:00.000Z,2017,Severe Storm,FLOODING,False,False,True,True,2017-02-08T00:00:00.000Z,2017-02-11T00:00:00.000Z,2025-03-25T00:00:00.000Z,True,06,000,60347,Resighini Rancheria (Indian Reservation),17035,,2017041001,9,,2025-03-26T20:21:32.579Z,432a3a64bdbb291ae26cf5a27a33deeabb380481,98a7c5bb-2346-45aa-a1ca-0399440d4f0b
DR-4251-AL,4251,AL,DR,2016-01-21T00:00:00.000Z,2016,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",False,False,True,True,2015-12-23T00:00:00.000Z,2015-12-31T00:00:00.000Z,2025-03-27T00:00:00.000Z,False,01,001,99001,Autauga (County),16003,,2015122301,4,,2025-03-27T12:21:46.559Z,dcd4ce6b37ee49875b3f1e32e9a8a16cd6a803d3,5229bbae-eee6-42b8-b277-edbafa8d6cb2
DR-4251-AL,4251,AL,DR,2016-01-21T00:00:00.000Z,2016,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",False,False,True,True,2015-12-23T00:00:00.000Z,2015-12-31T00:00:00.000Z,2025-03-27T00:00:00.000Z,False,01,005,99005,Barbour (County),16003,,2015122301,4,,2025-03-27T12:21:46.559Z,5b8478f80e09732d1f5195b604b0a3b8ca396a01,2155164c-0c07-4da4-b5d1-d24a831d9bdc
DR-4251-AL,4251,AL,DR,2016-01-21T00:00:00.000Z,2016,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",False,False,True,True,2015-12-23T00:00:00.000Z,2015-12-31T00:00:00.000Z,2025-03-27T00:00:00.000Z,False,01,009,99009,Blount (County),16003,,2015122301,4,,2025-03-27T12:21:46.559Z,2aeb06b619f8ac8f58c936d883f04b6ba32539dd,2e772244-38aa-4cce-8f9d-cb3cec41a7af
DR-4251-AL,4251,AL,DR,2016-01-21T00:00:00.000Z,2016,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",False,False,True,True,2015-12-23T00:00:00.000Z,2015-12-31T00:00:00.000Z,2025-03-27T00:00:00.000Z,False,01,011,99011,Bullock (County),16003,,2015122301,4,,2025-03-27T12:21:46.559Z,9e61dc26a6112528d4db9aeabb2aabc18b944590,03312824-daf7-4b58-a88a-ae844d72e6d1
DR-4251-AL,4251,AL,DR,2016-01-21T00:00:00.000Z,2016,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",False,False,True,True,2015-12-23T00:00:00.000Z,2015-12-31T00:00:00.000Z,2025-03-27T00:00:00.000Z,False,01,013,99013,Butler (County),16003,,2015122301,4,,2025-03-27T12:21:46.559Z,9a77fca608b697db636cda43ba5f47b785e7dff0,e3a71c7d-3351-4ee8-96a6-9f1498237a65
FM-5516-OR,5516,OR,FM,2024-07-22T00:00:00.000Z,2024,Fire,DURKEE FIRE,False,False,True,True,2024-07-21T00:00:00.000Z,,,False,41,001,99001,Baker (County),24093,,2024072301,10,R,2024-08-27T18:22:14.800Z,45ff69fccf92d0d834cbdfa43863f27a117e64a1,f04e205c-f078-44f3-a41c-e99832a27237
FM-5516-OR,5516,OR,FM,2024-07-22T00:00:00.000Z,2024,Fire,DURKEE FIRE,False,False,True,True,2024-07-21T00:00:00.000Z,,,False,41,045,99045,Malheur (County),24093,,2024072301,10,R,2024-08-27T18:22:14.800Z,3fb7fb2fd4a72c15f0e171ad2dc7493c1b794b2d,60983d05-03a4-4b66-90e6-f7889e15fd7d
FM-5514-OR,5514,OR,FM,2024-07-21T00:00:00.000Z,2024,Fire,BATTLE MOUNTAIN FIRE COMPLEX,False,False,True,True,2024-07-21T00:00:00.000Z,,,False,41,023,99023,Grant (County),24092,,2024072202,10,R,2024-08-27T18:22:14.800Z,e7da1792be5f3f783ce34ff85a62c584327c4a0d,45427119-abd1-4c6f-b876-d37d55cf97bf
FM-5514-OR,5514,OR,FM,2024-07-21T00:00:00.000Z,2024,Fire,BATTLE MOUNTAIN FIRE COMPLEX,False,False,True,True,2024-07-21T00:00:00.000Z,,,False,41,049,99049,Morrow (County),24092,,2024072202,10,R,2024-08-27T18:22:14.800Z,98ae6ac4936262d4e0be961104cb3361be870434,f3839077-b1f5-4eba-852e-d1db1da541ac
FM-5514-OR,5514,OR,FM,2024-07-21T00:00:00.000Z,2024,Fire,BATTLE MOUNTAIN FIRE COMPLEX,False,False,True,True,2024-07-21T00:00:00.000Z,,,False,41,059,99059,Umatilla (County),24092,,2024072202,10,R,2024-08-27T18:22:14.800Z,ecf955791b9c038ec43ffb8fbdcfbebbf98d6bdf,d0deaa82-4668-4346-9a9f-33db099c2fc5
FM-5513-OR,5513,OR,FM,2024-07-21T00:00:00.000Z,2024,Fire,BONEYARD FIRE,False,False,True,True,2024-07-20T00:00:00.000Z,,,False,41,023,99023,Grant (County),24091,,2024072101,10,R,2024-08-27T18:22:14.800Z,d6dc2b751eb9450eb1c42308047db100f19d9e1b,ee206396-9fe8-4f37-b973-b0514410fdee
FM-5512-OR,5512,OR,FM,2024-07-18T00:00:00.000Z,2024,Fire,FALLS FIRE,False,False,True,True,2024-07-18T00:00:00.000Z,,,False,41,023,99023,Grant (County),24090,,2024071901,10,R,2024-08-27T18:22:14.800Z,52f8fadf76e67cd79efd181e2acc778c42073d04,1ae19176-efcc-4b70-a1f6-d7780e07d03b
FM-5512-OR,5512,OR,FM,2024-07-18T00:00:00.000Z,2024,Fire,FALLS FIRE,False,False,True,True,2024-07-18T00:00:00.000Z,,,False,41,025,99025,Harney (County),24090,,2024071901,10,R,2024-08-27T18:22:14.800Z,bba05ae451c567b32a7034ef1daa5aa8aef99a6e,e1ace295-e303-42e5-b918-d03810a466a3
